layer,description,depth,unit,NA,format,specs,source,citation_url,citation_originator,citation_adress,publication_date
CLYPPT_M_sl1_250m_ll.tif,Clay content (0-2 micro meter) mass fraction in % at depth 0.00 m,0.00 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl1_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CLYPPT_M_sl2_250m_ll.tif,Clay content (0-2 micro meter) mass fraction in % at depth 0.05 m,0.05 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl2_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CLYPPT_M_sl3_250m_ll.tif,Clay content (0-2 micro meter) mass fraction in % at depth 0.15 m,0.15 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl3_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CLYPPT_M_sl4_250m_ll.tif,Clay content (0-2 micro meter) mass fraction in % at depth 0.30 m,0.30 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl4_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CLYPPT_M_sl5_250m_ll.tif,Clay content (0-2 micro meter) mass fraction in % at depth 0.60 m,0.60 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl5_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CLYPPT_M_sl6_250m_ll.tif,Clay content (0-2 micro meter) mass fraction in % at depth 1.00 m,1.00 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl6_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CLYPPT_M_sl7_250m_ll.tif,Clay content (0-2 micro meter) mass fraction in % at depth 2.00 m,2.00 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CLYPPT_M_sl7_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CRFVOL_M_sl1_250m_ll.tif,Coarse fragments volumetric in % at depth 0.00 m,0.00 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl1_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CRFVOL_M_sl2_250m_ll.tif,Coarse fragments volumetric in % at depth 0.05 m,0.05 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl2_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CRFVOL_M_sl3_250m_ll.tif,Coarse fragments volumetric in % at depth 0.15 m,0.15 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl3_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CRFVOL_M_sl4_250m_ll.tif,Coarse fragments volumetric in % at depth 0.30 m,0.30 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl4_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CRFVOL_M_sl5_250m_ll.tif,Coarse fragments volumetric in % at depth 0.60 m,0.60 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl5_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CRFVOL_M_sl6_250m_ll.tif,Coarse fragments volumetric in % at depth 1.00 m,1.00 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl6_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
CRFVOL_M_sl7_250m_ll.tif,Coarse fragments volumetric in % at depth 2.00 m,2.00 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/CRFVOL_M_sl7_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
OCSTHA_M_sd1_250m_ll.tif,Soil organic carbon stock in tonnes per ha for depth interval 0.00 m - 0.05 m,0.025 m,tonnes / ha,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/OCSTHA_M_sd1_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
OCSTHA_M_sd2_250m_ll.tif,Soil organic carbon stock in tonnes per ha for depth interval 0.05 m - 0.15 m,0.125 m,tonnes / ha,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/OCSTHA_M_sd2_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
OCSTHA_M_sd3_250m_ll.tif,Soil organic carbon stock in tonnes per ha for depth interval 0.15 m - 0.30 m,0.225 m,tonnes / ha,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/OCSTHA_M_sd3_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
OCSTHA_M_sd4_250m_ll.tif,Soil organic carbon stock in tonnes per ha for depth interval 0.30 m - 0.60 m,0.45 m,tonnes / ha,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/OCSTHA_M_sd4_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
OCSTHA_M_sd5_250m_ll.tif,Soil organic carbon stock in tonnes per ha for depth interval 0.60 m - 1.00 m,0.80 m,tonnes / ha,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/OCSTHA_M_sd5_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
OCSTHA_M_sd6_250m_ll.tif,Soil organic carbon stock in tonnes per ha for depth interval 1.00 m - 2.00 m,1.50 m,tonnes / ha,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/OCSTHA_M_sd6_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
ORCDRC_M_sl1_250m_ll.tif,Soil organic carbon content (fine earth fraction) in g per kg at depth 0.00 m,0.00 m,g / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/ORCDRC_M_sl1_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
ORCDRC_M_sl2_250m_ll.tif,Soil organic carbon content (fine earth fraction) in g per kg at depth 0.05 m,0.05 m,g / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/ORCDRC_M_sl2_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
ORCDRC_M_sl3_250m_ll.tif,Soil organic carbon content (fine earth fraction) in g per kg at depth 0.15 m,0.15 m,g / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/ORCDRC_M_sl3_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
ORCDRC_M_sl4_250m_ll.tif,Soil organic carbon content (fine earth fraction) in g per kg at depth 0.30 m,0.30 m,g / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/ORCDRC_M_sl4_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
ORCDRC_M_sl5_250m_ll.tif,Soil organic carbon content (fine earth fraction) in g per kg at depth 0.60 m,0.60 m,g / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/ORCDRC_M_sl5_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
ORCDRC_M_sl6_250m_ll.tif,Soil organic carbon content (fine earth fraction) in g per kg at depth 1.00 m,1.00 m,g / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/ORCDRC_M_sl6_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
ORCDRC_M_sl7_250m_ll.tif,Soil organic carbon content (fine earth fraction) in g per kg at depth 2.00 m,2.00 m,g / kg,-32768,Int16,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/ORCDRC_M_sl7_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIHOX_M_sl1_250m_ll.tif,Soil pH x 10 in H2O  at depth 0.00 m,0.00 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIHOX_M_sl1_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIHOX_M_sl2_250m_ll.tif,Soil pH x 10 in H2O  at depth 0.05 m,0.05 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIHOX_M_sl2_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIHOX_M_sl3_250m_ll.tif,Soil pH x 10 in H2O  at depth 0.15 m,0.15 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIHOX_M_sl3_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIHOX_M_sl4_250m_ll.tif,Soil pH x 10 in H2O  at depth 0.30 m,0.30 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIHOX_M_sl4_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIHOX_M_sl5_250m_ll.tif,Soil pH x 10 in H2O  at depth 0.60 m,0.60 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIHOX_M_sl5_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIHOX_M_sl6_250m_ll.tif,Soil pH x 10 in H2O  at depth 1.00 m,1.00 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIHOX_M_sl6_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIHOX_M_sl7_250m_ll.tif,Soil pH x 10 in H2O  at depth 2.00 m,2.00 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIHOX_M_sl7_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIKCL_M_sl1_250m_ll.tif,Soil pH x 10 in KCl at depth 0.00 m,0.00 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIKCL_M_sl1_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIKCL_M_sl2_250m_ll.tif,Soil pH x 10 in KCl at depth 0.05 m,0.05 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIKCL_M_sl2_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIKCL_M_sl3_250m_ll.tif,Soil pH x 10 in KCl at depth 0.15 m,0.15 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIKCL_M_sl3_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIKCL_M_sl4_250m_ll.tif,Soil pH x 10 in KCl at depth 0.30 m,0.30 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIKCL_M_sl4_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIKCL_M_sl5_250m_ll.tif,Soil pH x 10 in KCl at depth 0.60 m,0.60 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIKCL_M_sl5_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIKCL_M_sl6_250m_ll.tif,Soil pH x 10 in KCl at depth 1.00 m,1.00 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIKCL_M_sl6_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
PHIKCL_M_sl7_250m_ll.tif,Soil pH x 10 in KCl at depth 2.00 m,2.00 m,index*10,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/PHIKCL_M_sl7_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SLTPPT_M_sl1_250m_ll.tif,Silt content (2-50 micro meter) mass fraction in % at depth 0.00 m,0.00 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SLTPPT_M_sl1_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SLTPPT_M_sl2_250m_ll.tif,Silt content (2-50 micro meter) mass fraction in % at depth 0.05 m,0.05 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SLTPPT_M_sl2_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SLTPPT_M_sl3_250m_ll.tif,Silt content (2-50 micro meter) mass fraction in % at depth 0.15 m,0.15 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SLTPPT_M_sl3_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SLTPPT_M_sl4_250m_ll.tif,Silt content (2-50 micro meter) mass fraction in % at depth 0.30 m,0.30 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SLTPPT_M_sl4_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SLTPPT_M_sl5_250m_ll.tif,Silt content (2-50 micro meter) mass fraction in % at depth 0.60 m,0.60 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SLTPPT_M_sl5_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SLTPPT_M_sl6_250m_ll.tif,Silt content (2-50 micro meter) mass fraction in % at depth 1.00 m,1.00 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SLTPPT_M_sl6_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SLTPPT_M_sl7_250m_ll.tif,Silt content (2-50 micro meter) mass fraction in % at depth 2.00 m,2.00 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SLTPPT_M_sl7_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SNDPPT_M_sl1_250m_ll.tif,Sand content (50-2000 micro meter) mass fraction in % at depth 0.00 m,0.00 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SNDPPT_M_sl1_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SNDPPT_M_sl2_250m_ll.tif,Sand content (50-2000 micro meter) mass fraction in % at depth 0.05 m,0.05 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SNDPPT_M_sl2_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SNDPPT_M_sl3_250m_ll.tif,Sand content (50-2000 micro meter) mass fraction in % at depth 0.15 m,0.15 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SNDPPT_M_sl3_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SNDPPT_M_sl4_250m_ll.tif,Sand content (50-2000 micro meter) mass fraction in % at depth 0.30 m,0.30 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SNDPPT_M_sl4_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SNDPPT_M_sl5_250m_ll.tif,Sand content (50-2000 micro meter) mass fraction in % at depth 0.60 m,0.60 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SNDPPT_M_sl5_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
SNDPPT_M_sl6_250m_ll.tif,Sand content (50-2000 micro meter) mass fraction in % at depth 1.00 m,1.00 m,percent,255,Byte,https://github.com/ISRICWorldSoil/SoilGrids250m,ftp://ftp.soilgrids.org/data/recent/SNDPPT_M_sl6_250m_ll.tif,http://www.isric.org/data/soilgrids,ISRIC - World Soil Information,jorge.mendesdejesus@wur.nl,12.05.2016
